scenario,scenario_key,n_runs,test_mape_mean,test_mape_std,test_mape_min,test_mape_max,test_mape_ci_lower,test_mape_ci_upper,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_rmse_ci_lower,test_rmse_ci_upper,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_mae_ci_lower,test_mae_ci_upper,test_mpe_mean,test_mpe_std,test_mpe_min,test_mpe_max,test_mpe_ci_lower,test_mpe_ci_upper,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_r2_ci_lower,test_r2_ci_upper,test_mape_corrected_mean,test_mape_corrected_std,test_mape_corrected_min,test_mape_corrected_max,test_mape_corrected_ci_lower,test_mape_corrected_ci_upper,test_rmse_corrected_mean,test_rmse_corrected_std,test_rmse_corrected_min,test_rmse_corrected_max,test_rmse_corrected_ci_lower,test_rmse_corrected_ci_upper,test_mae_corrected_mean,test_mae_corrected_std,test_mae_corrected_min,test_mae_corrected_max,test_mae_corrected_ci_lower,test_mae_corrected_ci_upper,test_mpe_corrected_mean,test_mpe_corrected_std,test_mpe_corrected_min,test_mpe_corrected_max,test_mpe_corrected_ci_lower,test_mpe_corrected_ci_upper,test_r2_corrected_mean,test_r2_corrected_std,test_r2_corrected_min,test_r2_corrected_max,test_r2_corrected_ci_lower,test_r2_corrected_ci_upper
GBR传统机器学习,A,5,0.5577400000000001,0.011548289916693282,0.5481,0.5768,0.5434009041696225,0.5720790958303777,1442583.98,42375.3895270545,1390877.45,1500143.71,1389967.9844143954,1495199.9755856046,1092580.67,29867.04238903892,1049122.08,1125654.45,1055495.8387327045,1129665.5012672953,0.22208,0.009501947168870175,0.2112,0.2324,0.2102817742875797,0.2338782257124203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,A_prime,5,0.5206,0.04127081293117448,0.4694,0.5678,0.4693555174067581,0.5718444825932417,1486291.45,47042.56221058659,1431269.38,1556067.62,1427880.3941198536,1544702.5058801463,1038151.5,41325.44535334376,993218.5,1092374.0,986839.1822950159,1089463.817704984,0.17035999999999998,0.04560573428857384,0.0942,0.211,0.1137330016222308,0.22698699837776917,0.47976,0.033129261989968926,0.4302,0.518,0.43862458809999516,0.5208954119000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
传统联邦学习,B,5,0.5163,0.057339951168447985,0.4207,0.5616,0.4451030469753761,0.5874969530246238,1716607.05,122275.03922037694,1612047.88,1927505.62,1564782.5359211045,1868431.5640788956,1242666.924,131527.77000167637,1118802.0,1466428.0,1079353.6272248933,1405980.220775107,-0.12047999999999996,0.1305043562491306,-0.3268999999999999,-0.0081,-0.2825225607633042,0.04156256076330424,0.30377999999999994,0.10269901167976252,0.1257,0.3885,0.17626233454613072,0.43129766545386916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多智能体协同联邦学习,C,5,0.5056,0.04302923424835725,0.4366,0.547,0.45217214896353836,0.5590278510364618,1681581.8759999997,177866.78309150544,1554766.38,1948425.25,1460731.094958959,1902432.6570410405,1207253.876,153282.411696871,1084908.0,1449777.38,1016928.6238381474,1397579.1281618525,0.04782,0.08317726251807041,-0.0327,0.1762,-0.05545821233783159,0.1510982123378316,0.32864000000000004,0.1455886774443672,0.1067,0.4312,0.14786778067122852,0.5094122193287716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自适应联邦学习（FedYogi-TR）,FEDYOGI,5,0.520898602,0.06336739767039845,0.42322993,0.58628196,0.44221758565280506,0.599579618347195,1699221.2,126533.70250615051,1590030.1,1910852.8,1542108.8570386872,1856333.5429613127,1230726.5399999998,133746.76578021614,1143978.9,1463069.4,1064657.9960545138,1396795.0839454858,-0.1306581504,0.13944345147846687,-0.33065173,0.017715065,-0.3038000638860861,0.04248376308608609,0.3175539255142212,0.10481414975129187,0.1407873630523681,0.4050823450088501,0.1874099692657038,0.44769788176273856,0.5298282320000001,0.07033463136545268,0.42108616,0.5987982,0.4424962524065841,0.617160211593416,1547590.88,58402.873205237105,1484384.2,1623505.8,1475074.1349493975,1620107.6250506022,1107208.6,61150.53191542979,1058086.8,1185684.2,1031280.1860496005,1183137.0139503996,0.0528999126,0.0540811320219109,-0.013124837,0.125872,-0.01425068201371163,0.12005050721371163,0.43577409982681276,0.04270674553451604,0.3797684907913208,0.4815118312835693,0.3827466714161547,0.4888015282374708
验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,5,0.48509518399999996,0.07096911636155778,0.42802858,0.6081546,0.39697538722951975,0.5732149807704802,1620080.78,95694.46112814997,1512120.0,1754755.1,1501260.4127896663,1738901.1472103337,1164206.48,101611.46742239285,1051215.0,1319121.0,1038039.1790969599,1290373.78090304,-0.1256214208,0.1297997790871637,-0.24596047,0.04300722,-0.28678913346733326,0.035546291867333296,0.3806586742401123,0.0734722305026418,0.2754318118095398,0.4619548916816711,0.28943085075725333,0.47188649772297125,0.504686826,0.09612551858780649,0.43974143,0.67297673,0.38533123026085375,0.6240424217391463,1650055.2799999998,207716.18065942047,1499625.9,1999986.0,1392141.576630808,1907968.9833691916,1192041.78,174762.0904494222,1060951.9,1484204.1,975045.9840381222,1409037.5759618778,-0.025047132627999995,0.062345634626628156,-0.12708081,0.027999476,-0.1024594625890503,0.0523651973330503,0.3511948108673096,0.17170580394572588,0.058760643005371,0.4708095192909241,0.13799389582526753,0.5643957259093516
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,5,0.476435754,0.06298465511504829,0.42235488,0.5852128,0.3982299753043638,0.5546415326956362,1602800.1,66943.80859919012,1522190.8,1698744.1,1519678.382959742,1685921.817040258,1135564.6199999999,62727.404866589204,1062240.8,1227598.2,1057678.2596764043,1213450.9803235955,-0.053863666,0.13449534437021612,-0.22835648,0.11109973,-0.220861693030515,0.113134361030515,0.3946443796157837,0.05076678281651476,0.320949375629425,0.4547642469406128,0.3316090930878877,0.45767966614367966,0.48171552,0.04718961394990903,0.44118652,0.5598824,0.4231218752692637,0.5403091647307363,1569854.06,64315.00752824334,1502564.8,1641425.0,1489996.4306079762,1649711.689392024,1128281.34,58267.32897064182,1071677.1,1199082.5,1055932.8953456588,1200629.7846543414,-0.0047469769200000015,0.06659826216430968,-0.11948493,0.0470521,-0.0874396413923594,0.07794568755235938,0.4193057894706726,0.04775265032556568,0.3660014271736145,0.4687333106994629,0.3600130427426043,0.4785985361987409
多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,5,0.52752,0.043998261329284374,0.4628,0.5709000000000001,0.4728889429238666,0.5821510570761333,1628230.226,115262.14436446637,1535099.5,1823830.75,1485113.370986877,1771347.081013123,1185369.576,103036.91599170964,1074539.5,1354650.75,1057432.346927148,1313306.8050728517,0.05394000000000001,0.039443351784552994,-0.0058,0.1026,0.004964610120634275,0.10291538987936574,0.37366,0.09152438472887978,0.2173,0.4455,0.2600174665243994,0.4873025334756006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
