test_mape,test_rmse,test_mae,test_mpe,test_nrmse,val_mape,val_rmse,val_mae,val_mpe,command,scenario,scenario_key,seed,split_seed,success,result_file,test_r2,best_val_mape,best_epoch,best_round,server_optimizer,server_lr,server_beta1,server_beta2,server_tau,max_coordinate_step_ratio,llm_temperature,use_llm,num_rounds,server_lr_scale,update_clip_norm,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,llm_provider,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value,elapsed_seconds,code_commit,code_dirty,seed_result_file
0.547,1948425.25,1449777.38,-0.0169,0.2186,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 2024,多智能体协同联邦学习,C,2024,42,True,results\scenario_c_results.csv,0.1067,0.4440999999999999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42322993,1714227.6,1224472.6,-0.21280834,0.19229856,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 42,自适应联邦学习（FedYogi-TR）,FEDYOGI,42,42,True,results\fedyogi_results.csv,0.3085143566131592,0.40201727,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.42108616,1502451.1,1065231.8,-0.013124837,0.4688135981559753,-0.20233919,55.57113337516785,c58bfb6,True,results\multi_seed\FEDYOGI_seed42_result.csv
0.4993004,1650754.5,1148863.2,-0.06968589,0.18517828,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 123,自适应联邦学习（FedYogi-TR）,FEDYOGI,123,42,True,results\fedyogi_results.csv,0.3587740063667297,0.40090227,,19.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.504412,1538097.5,1065852.2,0.0382103,0.4433093667030334,-0.10392517,55.42477297782898,c58bfb6,True,results\multi_seed\FEDYOGI_seed123_result.csv
0.53500766,1630241.0,1173248.6,-0.057859857,0.18287711,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 456,自适应联邦学习（FedYogi-TR）,FEDYOGI,456,42,True,results\fedyogi_results.csv,0.3746115565299988,0.38121969,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5476677,1484384.2,1058086.8,0.086512655,0.4815118312835693,-0.13287699,54.2487359046936,c58bfb6,True,results\multi_seed\FEDYOGI_seed456_result.csv
0.56067306,1590030.1,1143978.9,0.017715065,0.17836633,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 789,自适应联邦学习（FedYogi-TR）,FEDYOGI,789,42,True,results\fedyogi_results.csv,0.4050823450088501,0.4293516,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5987982,1589515.8,1161188.0,0.125872,0.4054672122001648,-0.096065074,55.79834365844727,c58bfb6,True,results\multi_seed\FEDYOGI_seed789_result.csv
0.58628196,1910852.8,1463069.4,-0.33065173,0.21435556,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 2024,自适应联邦学习（FedYogi-TR）,FEDYOGI,2024,42,True,results\fedyogi_results.csv,0.1407873630523681,0.47479254,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5771771,1623505.8,1185684.2,0.027029445,0.3797684907913208,-0.34826767,53.93982648849487,c58bfb6,True,results\multi_seed\FEDYOGI_seed2024_result.csv
0.42802858,1649887.9,1183534.0,-0.17539088,0.18508106,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 42,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,42,42,True,results\vg_fedyogi_tr_results.csv,0.3594470024108886,0.39601135,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.44650054,1499625.9,1092046.9,0.027999476,0.4708095192909241,-0.19785063,77.38536834716797,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed42_result.csv
0.44955593,1512120.0,1051215.0,0.04300722,0.16962653,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 123,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,123,42,True,results\vg_fedyogi_tr_results.csv,0.4619548916816711,0.3896073,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.43974143,1531497.2,1060951.9,0.00062142586,0.448076844215393,0.042359456,73.53053212165833,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed123_result.csv
0.47299063,1545176.8,1099783.2,-0.020008394,0.17333478,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 456,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,456,42,True,results\vg_fedyogi_tr_results.csv,0.4381730556488037,0.40668297,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.47929803,1538268.8,1099215.1,0.012997225,0.4431854486465454,-0.032582134,74.74710655212402,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed456_result.csv
0.6081546,1754755.1,1319121.0,-0.22975458,0.19684485,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 789,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,789,42,True,results\vg_fedyogi_tr_results.csv,0.2754318118095398,0.5724437,,18.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.67297673,1999986.0,1484204.1,-0.03977298,0.058760643005371,-0.19785066,75.83864736557007,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed789_result.csv
0.46674618,1638464.1,1167379.2,-0.24596047,0.18379956,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 2024,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,2024,42,True,results\vg_fedyogi_tr_results.csv,0.3682866096496582,0.5503276,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.4849174,1680898.5,1223790.9,-0.12708081,0.3351415991783142,-0.13618629,73.9678726196289,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed2024_result.csv
0.42235488,1607473.5,1149005.1,-0.13382016,0.1803231,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 42,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,42,42,True,results\mas_vg_fedyogi_tr_results.csv,0.3919576406478882,0.39974618,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,20.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,deepseek,0.44784075,1502564.8,1095316.6,0.027820617,0.4687333106994629,-0.15726557,104.86827635765076,c58bfb6,True,results\multi_seed\MAS_VG_FEDYOGI_TR_seed42_result.csv
0.44994426,1522190.8,1062240.8,0.03723887,0.17075625,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 123,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,123,42,True,results\mas_vg_fedyogi_tr_results.csv,0.4547642469406128,0.39070117,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,20.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,deepseek,0.44118652,1540368.6,1071677.1,-0.0031906476,0.4416641592979431,0.04055893,113.12359881401062,c58bfb6,True,results\multi_seed\MAS_VG_FEDYOGI_TR_seed123_result.csv
0.46473438,1561167.1,1095046.9,-0.05548029,0.17512855,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 456,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,456,42,True,results\mas_vg_fedyogi_tr_results.csv,0.4264847040176391,0.39309737,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,20.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,deepseek,0.47952,1529031.1,1092384.5,0.024067976,0.4498528838157654,-0.077678695,110.85912299156189,c58bfb6,True,results\multi_seed\MAS_VG_FEDYOGI_TR_seed456_result.csv
0.5852128,1698744.1,1227598.2,0.11109973,0.19056165,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 789,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,789,42,True,results\mas_vg_fedyogi_tr_results.csv,0.320949375629425,0.55678767,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,20.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,deepseek,0.5598824,1635880.8,1182946.0,0.0470521,0.3702771663665771,0.061169546,106.25474739074707,c58bfb6,True,results\multi_seed\MAS_VG_FEDYOGI_TR_seed789_result.csv
0.45993245,1624425.0,1143932.1,-0.22835648,0.18222469,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 2024,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,MAS_VG_FEDYOGI_TR,2024,42,True,results\mas_vg_fedyogi_tr_results.csv,0.3790659308433532,0.5441072,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,20.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,deepseek,0.48014793,1641425.0,1199082.5,-0.11948493,0.3660014271736145,-0.123645276,106.03547644615173,c58bfb6,True,results\multi_seed\MAS_VG_FEDYOGI_TR_seed2024_result.csv
0.4628,1627626.62,1181843.5,0.0474,0.1826,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --server_lr 0.4 --max_coordinate_step_ratio 1 --output_prefix mas_adaptive --method_key MAS_ADAPTIVE --seed 42,多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,42,42,True,results\mas_adaptive_results.csv,0.3766,0.3934,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,
0.5078,1554715.88,1074539.5,0.0561,0.1744,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --server_lr 0.4 --max_coordinate_step_ratio 1 --output_prefix mas_adaptive --method_key MAS_ADAPTIVE --seed 123,多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,123,42,True,results\mas_adaptive_results.csv,0.4312,0.4053,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,
0.5332,1599878.38,1156147.75,0.1026,0.1795,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --server_lr 0.4 --max_coordinate_step_ratio 1 --output_prefix mas_adaptive --method_key MAS_ADAPTIVE --seed 456,多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,456,42,True,results\mas_adaptive_results.csv,0.3977,0.3923,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,
0.5629,1535099.5,1159666.38,0.0694,0.1722,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --server_lr 0.4 --max_coordinate_step_ratio 1 --output_prefix mas_adaptive --method_key MAS_ADAPTIVE --seed 789,多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,789,42,True,results\mas_adaptive_results.csv,0.4455,0.3876,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,
0.5709000000000001,1823830.75,1354650.75,-0.0058,0.2046,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --server_lr 0.4 --max_coordinate_step_ratio 1 --output_prefix mas_adaptive --method_key MAS_ADAPTIVE --seed 2024,多智能体协同自适应联邦学习（FedYogi-TR）,MAS_ADAPTIVE,2024,42,True,results\mas_adaptive_results.csv,0.2173,0.4629,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,
