Dist区域,BIDS投标数量,WorkDays工期,Length长度,Lanes车道数,ContDays合同日期,ContAmnt合同金额,CPPR承包商绩效评分,CPI消费物价指数,ConstSpndg建设投资支出,PLR基准贷款利率,PPI (2 year lag)生产物价指数,ActualAmnt实际结算金额,Client
4,5,3,2.02,1,200,3214695.35,98,195.549,1077350,1.92,184.8,2881681.67,Client 1
4,6,8,1.18,4,292,3534116.84,100,195.549,1077350,1.92,184.8,3224058.6,Client 1
4,4,33,2.17,1,307,9431533.68,100,195.549,1077350,1.92,184.8,8965797.65,Client 1
4,7,15,0.51,2,158,2256428.45,102,195.549,1077350,1.92,184.8,2107055.56,Client 1
4,6,2,3.77,1,170,3222153.11,102,195.549,1077350,1.92,184.8,2786211.86,Client 1
4,3,5,1.26,6,193,2442222.0,104,195.549,1077350,1.92,184.8,2560867.9,Client 1
4,5,33,2.25,1,496,6022071.08,104,195.549,1077350,1.92,184.8,6224648.79,Client 1
4,8,62,2.12,2,232,5454096.44,104,195.549,1077350,1.92,184.8,5218543.48,Client 1
4,4,5,4.5,6,233,2713543.24,104,195.549,1077350,1.92,184.8,2540358.8,Client 1
4,3,6,2.19,1,160,2521773.46,104,195.549,1077350,1.92,184.8,2064579.13,Client 1
4,4,7,8.11,1,215,2137621.84,104,195.549,1077350,1.92,184.8,2114965.5,Client 1
4,5,6,2.35,2,305,3292375.3,106,195.549,1077350,1.92,184.8,3615536.91,Client 1
4,4,24,6.25,2,392,6561077.68,106,195.549,1077350,1.92,184.8,6480320.62,Client 1
4,5,18,3.65,6,300,3635008.0,106,195.549,1077350,1.92,184.8,3224356.92,Client 1
4,7,46,0.7,1,326,4538270.65,90,179.252,906543,0.16,195.5,4974140.49,Client 1
4,6,8,0.62,3,140,1151567.3,92,179.252,906543,0.16,195.5,1140865.12,Client 1
4,7,5,0.44,4,120,848755.82,93,179.252,906543,0.16,195.5,844159.53,Client 1
4,4,12,0.78,1,183,1827051.42,98,179.252,906543,0.16,195.5,1633553.34,Client 1
4,5,21,7.08,1,160,2395425.74,98,179.252,906543,0.16,195.5,2297664.09,Client 1
4,3,29,0.42,1,290,7177574.46,98,179.252,906543,0.16,195.5,8243255.77,Client 1
4,6,9,5.18,2,265,1086777.99,98,179.252,906543,0.16,195.5,994509.32,Client 1
4,6,16,2.03,1,203,2224741.65,98,179.252,906543,0.16,195.5,2192732.04,Client 1
4,8,36,0.44,2,291,3685295.45,98,179.252,906543,0.16,195.5,3666364.91,Client 1
4,5,14,4.41,2,230,2096802.35,98,179.252,906543,0.16,195.5,2010812.88,Client 1
4,6,14,0.15,5,95,307126.07,98,179.252,906543,0.16,195.5,311354.41,Client 1
4,4,11,6.33,1,180,1098409.83,100,179.252,906543,0.16,195.5,918114.15,Client 1
4,6,12,3.88,1,98,358046.07,100,179.252,906543,0.16,195.5,324781.54,Client 1
4,7,104,0.93,1,360,4569725.96,102,179.252,906543,0.16,195.5,4638471.05,Client 1
4,7,15,0.5,1,160,939353.53,102,179.252,906543,0.16,195.5,893032.74,Client 1
4,7,18,1.66,3,160,2469888.91,102,179.252,906543,0.16,195.5,2409993.4,Client 1
4,4,8,0.9,1,156,834374.68,102,179.252,906543,0.16,195.5,799857.77,Client 1
4,4,38,1.23,1,248,4787600.56,102,179.252,906543,0.16,195.5,4509288.54,Client 1
4,7,46,1.06,1,259,3070172.15,103,179.252,906543,0.16,195.5,2958879.22,Client 1
4,5,3,2.48,1,90,446131.15,104,179.252,906543,0.16,195.5,413818.59,Client 1
4,7,31,3.71,1,195,1727671.01,104,179.252,906543,0.16,195.5,1286947.19,Client 1
4,6,13,15.5,2,90,581491.26,104,179.252,906543,0.16,195.5,580592.55,Client 1
4,4,3,0.35,1,195,970317.02,104,179.252,906543,0.16,195.5,907504.77,Client 1
4,5,9,6.1,1,196,6245041.03,77,212.366,788332,0.1,205.3,5792663.87,Client 1
4,6,21,1.53,3,178,4264769.06,78,212.366,788332,0.1,205.3,4110165.21,Client 1
4,6,48,0.19,3,257,1716445.18,80,212.366,788332,0.1,205.3,1838053.87,Client 1
4,5,109,4.26,1,392,3358662.81,87,212.366,788332,0.1,205.3,3289176.47,Client 1
4,4,12,5.57,2,170,1511212.9,96,212.366,788332,0.1,205.3,1461439.86,Client 1
4,8,14,0.16,2,135,1010622.0,96,212.366,788332,0.1,205.3,903089.55,Client 1
4,3,13,11.1,2,200,1583692.32,98,212.366,788332,0.1,205.3,1806954.71,Client 1
4,6,19,1.95,2,235,2506650.0,98,212.366,788332,0.1,205.3,2446188.76,Client 1
4,5,23,2.43,4,177,1597956.96,98,212.366,788332,0.1,205.3,1518896.83,Client 1
4,6,23,7.07,4,141,1694236.69,98,212.366,788332,0.1,205.3,1573080.13,Client 1
4,5,1,6.72,2,112,573200.7,98,212.366,788332,0.1,205.3,517223.36,Client 1
4,7,10,6.29,1,197,944801.18,98,212.366,788332,0.1,205.3,849795.03,Client 1
4,4,20,2.17,4,180,2732278.31,98,212.366,788332,0.1,205.3,2348622.37,Client 1
4,4,50,2.15,1,235,3031864.46,98,212.366,788332,0.1,205.3,2767471.67,Client 1
4,5,9,0.93,6,165,1230252.38,98,212.366,788332,0.1,205.3,1161558.79,Client 1
4,4,50,1.89,2,217,1728489.86,98,212.366,788332,0.1,205.3,1691276.41,Client 1
4,3,13,0.0,2,175,1506069.9,98,212.366,788332,0.1,205.3,1447706.67,Client 1
4,3,40,2.52,4,295,2883469.87,99,212.366,788332,0.1,205.3,2651996.97,Client 1
4,5,44,1.68,3,443,3929493.36,100,212.366,788332,0.1,205.3,3910348.51,Client 1
4,6,46,0.39,2,855,5777224.55,100,212.366,788332,0.1,205.3,5834538.49,Client 1
4,6,29,2.11,3,345,3998210.74,100,212.366,788332,0.1,205.3,3643831.57,Client 1
4,6,70,4.39,1,273,3439064.2,100,212.366,788332,0.1,205.3,3342421.13,Client 1
4,3,68,9.67,6,340,4176970.84,100,212.366,788332,0.1,205.3,3904189.62,Client 1
4,4,30,5.12,4,245,3227830.69,100,212.366,788332,0.1,205.3,2989980.47,Client 1
4,6,17,3.98,2,97,484142.3,100,212.366,788332,0.1,205.3,440055.09,Client 1
4,4,67,0.25,1,621,9628539.54,102,212.366,788332,0.1,205.3,9300247.74,Client 1
4,7,60,0.29,5,315,3080900.28,104,212.366,788332,0.1,205.3,3055964.2,Client 1
4,3,30,0.73,5,230,2448952.76,87,193.396,809256,0.18,222.4,2521721.02,Client 1
4,5,50,6.01,4,185,3247956.81,90,193.396,809256,0.18,222.4,2788385.45,Client 1
4,6,5,0.76,1,100,366200.7,92,193.396,809256,0.18,222.4,327646.01,Client 1
4,4,25,5.0,1,185,2414593.81,93,193.396,809256,0.18,222.4,2575555.16,Client 1
4,4,17,1.52,2,154,1028553.91,94,193.396,809256,0.18,222.4,1056713.15,Client 1
4,6,11,0.78,2,225,1862602.03,95,193.396,809256,0.18,222.4,1732632.78,Client 1
4,3,25,0.56,1,135,506264.9,95,193.396,809256,0.18,222.4,478284.36,Client 1
4,5,5,1.67,1,75,284997.72,96,193.396,809256,0.18,222.4,252095.05,Client 1
4,3,8,16.05,1,355,2328774.61,97,193.396,809256,0.18,222.4,2411680.59,Client 1
4,7,7,1.36,1,139,3297092.71,98,193.396,809256,0.18,222.4,3070576.82,Client 1
4,7,12,1.28,4,210,2093339.17,98,193.396,809256,0.18,222.4,1994316.06,Client 1
4,6,28,1.06,4,230,6821744.16,98,193.396,809256,0.18,222.4,5831209.06,Client 1
4,4,54,8.32,4,210,1585025.0,98,193.396,809256,0.18,222.4,1619427.64,Client 1
4,6,25,0.42,1,159,850304.49,98,193.396,809256,0.18,222.4,814594.87,Client 1
4,5,11,0.2,1,152,1931806.0,98,193.396,809256,0.18,222.4,2075300.02,Client 1
4,3,22,0.51,6,200,1754491.67,98,193.396,809256,0.18,222.4,1698651.13,Client 1
4,4,73,2.74,1,450,2634260.35,99,193.396,809256,0.18,222.4,2979948.09,Client 1
4,4,16,1.13,1,322,4170284.82,100,193.396,809256,0.18,222.4,4297895.81,Client 1
4,11,83,4.8,1,400,4496359.65,100,193.396,809256,0.18,222.4,4474589.48,Client 1
4,8,26,0.11,4,240,1478208.98,100,193.396,809256,0.18,222.4,1397911.02,Client 1
4,6,29,3.01,1,289,1738074.89,100,193.396,809256,0.18,222.4,1709497.28,Client 1
4,8,67,2.67,1,355,2269385.97,101,193.396,809256,0.18,222.4,2314884.87,Client 1
4,5,15,0.26,1,252,1940223.58,102,193.396,809256,0.18,222.4,1796842.55,Client 1
4,4,4,1.07,1,130,583929.42,104,193.396,809256,0.18,222.4,563840.07,Client 1
4,5,4,11.67,1,285,4012024.06,104,193.396,809256,0.18,222.4,3865703.47,Client 1
6,5,48,1.2,2,170,2952755.81,97,173.9,1116811,3.22,136.6,2967618.39,Client 1
6,2,6,2.89,2,160,999999.99,104,173.9,1116811,3.22,136.6,921070.53,Client 1
6,6,6,7.37,2,120,1804963.0,104,173.9,1116811,3.22,136.6,1742875.2,Client 1
6,7,16,1.15,1,250,1334487.6,87,180.9,1161282,4.97,148.2,1344559.55,Client 1
6,5,6,5.59,4,180,1963280.13,102,180.9,1161282,4.97,148.2,1874074.43,Client 1
6,7,12,9.17,4,150,1943197.87,102,180.9,1161282,4.97,148.2,1863534.06,Client 1
6,7,5,2.71,8,150,997952.15,104,180.9,1161282,4.97,148.2,970591.55,Client 1
6,7,4,0.67,2,149,786871.74,97,184.682,1147951,5.02,166.8,735312.31,Client 1
6,7,21,2.57,1,210,2129206.81,97,184.682,1147951,5.02,166.8,2377150.83,Client 1
6,7,16,0.14,1,170,1841385.12,98,184.682,1147951,5.02,166.8,1955246.53,Client 1
6,8,5,0.52,1,179,1367483.55,100,184.682,1147951,5.02,166.8,1438388.2,Client 1
6,5,6,1.7,1,280,2597840.84,104,184.682,1147951,5.02,166.8,2639200.44,Client 1
6,3,7,1.2,1,150,2574897.44,104,184.682,1147951,5.02,166.8,2702206.17,Client 1
6,7,15,1.31,4,300,4046488.18,105,184.682,1147951,5.02,166.8,4349388.97,Client 1
6,7,4,4.24,2,170,1277957.54,108,184.682,1147951,5.02,166.8,1292018.55,Client 1
6,12,40,1.26,1,299,2307756.9,95,195.549,1077350,1.92,184.8,2200479.62,Client 1
6,6,85,1.3,1,150,2229617.68,96,195.549,1077350,1.92,184.8,1916202.76,Client 1
6,5,25,6.15,4,300,4574375.25,98,195.549,1077350,1.92,184.8,4759690.73,Client 1
6,4,1,0.64,1,160,1049260.49,100,195.549,1077350,1.92,184.8,972432.35,Client 1
6,6,16,1.16,1,180,1478061.44,92,179.252,906543,0.16,195.5,1468342.0,Client 1
6,10,55,3.27,1,220,1473322.41,94,179.252,906543,0.16,195.5,2050794.44,Client 1
6,6,3,2.47,6,120,370552.67,98,179.252,906543,0.16,195.5,295747.77,Client 1
6,8,34,0.1,2,250,1918628.61,98,179.252,906543,0.16,195.5,1746644.69,Client 1
6,4,2,0.38,1,110,561181.11,101,179.252,906543,0.16,195.5,438114.74,Client 1
6,6,101,0.33,1,180,2816638.99,104,179.252,906543,0.16,195.5,2788910.31,Client 1
6,6,71,4.09,1,280,2487194.27,104,179.252,906543,0.16,195.5,2710521.68,Client 1
6,5,27,0.14,1,120,542051.75,87,212.366,788332,0.1,205.3,477596.42,Client 1
6,5,19,2.23,1,225,2933583.78,92,212.366,788332,0.1,205.3,3003199.78,Client 1
6,8,18,0.6,1,150,634885.54,102,212.366,788332,0.1,205.3,574721.58,Client 1
