BIDS,CPPR,ContDays,LEN,LANE,WDays,CPI,ContSpend,PLR,PPI,ContAmnt
1,95,130,1.47,3,12,180.9,1161282,4.97,148.2,5979436.0
4,100,362,3.9,6,20,180.9,1161282,4.97,148.2,5953455.7
3,90,120,4.04,3,17,184.68,1147951,5.02,166.8,7014581.0
4,106,410,1.28,6,18,180.9,1161282,4.97,148.2,9623827.68
5,110,451,1.28,0,20,180.9,1161282,4.97,148.2,6634603.43
2,100,205,4.37,4,33,180.9,1161282,4.97,148.2,5249224.38
1,99,150,9.27,2,22,180.9,1161282,4.97,148.2,8895013.0
2,98,150,9.18,2,11,180.9,1161282,4.97,148.2,6257470.7
4,100,170,10.85,4,15,173.9,1116811,3.22,136.6,5387551.91
4,93,420,0.7,6,24,180.9,1161282,4.97,148.2,14112750.0
4,94,280,5.12,2,22,173.9,1116811,3.22,136.6,7657641.99
2,98,145,2.03,6,29,184.68,1147951,5.02,166.8,5980614.0
3,80,340,0.73,0,108,163.1,991356,1.35,133.7,6843164.73
3,97,155,1.94,4,3,180.9,1161282,4.97,148.2,5598008.6
4,98,435,3.64,0,15,184.68,1147951,5.02,166.8,8387866.27
5,80,330,1.34,0,55,173.9,1116811,3.22,136.6,11101810.0
3,100,310,4.96,0,9,180.9,1161282,4.97,148.2,9113000.0
6,82,200,4.85,4,39,184.68,1147951,5.02,166.8,5990000.0
6,100,625,2.57,0,13,184.68,1147951,5.02,166.8,10402230.24
3,96,245,0.7,2,174,163.1,991356,1.35,133.7,7052269.58
4,99,230,2.03,2,166,173.9,1116811,3.22,136.6,5792937.94
2,106,600,0.32,0,36,163.1,991356,1.35,133.7,10356597.79
3,71,180,3.35,0,12,184.68,1147951,5.02,166.8,5482979.55
2,95,322,1.36,4,90,195.55,1077350,1.92,184.8,5966378.74
3,102,220,0.76,0,21,184.68,1147951,5.02,166.8,9645412.51
