BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client
5,104,124,2.07,1,3,184.682,1147951,5.02,166.8,756745.68,Client 1
4,104,255,2.1,1,11,184.682,1147951,5.02,166.8,5449013.83,Client 1
3,106,499,9.69,1,38,184.682,1147951,5.02,166.8,6345373.18,Client 1
3,106,530,2.29,1,13,184.682,1147951,5.02,166.8,6051401.81,Client 1
10,92,260,0.45,1,31,195.549,1077350,1.92,184.8,4046164.55,Client 1
6,92,250,5.79,2,24,195.549,1077350,1.92,184.8,2121446.9,Client 1
5,96,330,0.5,1,49,195.549,1077350,1.92,184.8,5144512.69,Client 1
4,96,235,0.79,4,17,195.549,1077350,1.92,184.8,3495168.11,Client 1
5,97,276,0.0,1,10,195.549,1077350,1.92,184.8,4699653.2,Client 1
6,98,180,0.9,3,22,195.549,1077350,1.92,184.8,2494151.67,Client 1
5,98,192,0.55,4,15,195.549,1077350,1.92,184.8,4309917.0,Client 1
6,98,115,3.82,4,3,195.549,1077350,1.92,184.8,725696.63,Client 1
4,98,231,4.95,2,18,195.549,1077350,1.92,184.8,1853658.95,Client 1
5,98,200,2.02,1,3,195.549,1077350,1.92,184.8,3214695.35,Client 1
6,100,292,1.18,4,8,195.549,1077350,1.92,184.8,3534116.84,Client 1
4,100,307,2.17,1,33,195.549,1077350,1.92,184.8,9431533.68,Client 1
7,102,158,0.51,2,15,195.549,1077350,1.92,184.8,2256428.45,Client 1
6,102,170,3.77,1,2,195.549,1077350,1.92,184.8,3222153.11,Client 1
3,104,193,1.26,6,5,195.549,1077350,1.92,184.8,2442222.0,Client 1
5,104,496,2.25,1,33,195.549,1077350,1.92,184.8,6022071.08,Client 1
8,104,232,2.12,2,62,195.549,1077350,1.92,184.8,5454096.44,Client 1
4,104,233,4.5,6,5,195.549,1077350,1.92,184.8,2713543.24,Client 1
3,104,160,2.19,1,6,195.549,1077350,1.92,184.8,2521773.46,Client 1
4,104,215,8.11,1,7,195.549,1077350,1.92,184.8,2137621.84,Client 1
5,106,305,2.35,2,6,195.549,1077350,1.92,184.8,3292375.3,Client 1
4,106,392,6.25,2,24,195.549,1077350,1.92,184.8,6561077.68,Client 1
5,106,300,3.65,6,18,195.549,1077350,1.92,184.8,3635008.0,Client 1
7,90,326,0.7,1,46,179.252,906543,0.16,195.5,4538270.65,Client 1
6,92,140,0.62,3,8,179.252,906543,0.16,195.5,1151567.3,Client 1
7,93,120,0.44,4,5,179.252,906543,0.16,195.5,848755.82,Client 1
