scenario,n_runs,test_mape_mean,test_mape_std,test_mape_min,test_mape_max,test_mape_ci_lower,test_mape_ci_upper,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_rmse_ci_lower,test_rmse_ci_upper,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_mae_ci_lower,test_mae_ci_upper,test_mpe_mean,test_mpe_std,test_mpe_min,test_mpe_max,test_mpe_ci_lower,test_mpe_ci_upper,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_r2_ci_lower,test_r2_ci_upper
B,5,0.5164,0.04671338138049954,0.4446,0.5616,0.45839767610547155,0.5744023238945284,1552865.474,97112.6586584909,1436501.62,1678045.25,1432284.1819739004,1673446.7660260994,1104930.986,64869.151559754326,1026088.56,1203470.5,1024385.2959142294,1185476.6760857706,0.0402,0.05438970490819012,-0.026,0.0999,-0.027333738457426357,0.10773373845742636,0.43079999999999996,0.07112865104864564,0.3374,0.5144,0.3424821147520981,0.5191178852479018
C,5,0.5164799999999999,0.05750832113703199,0.4201,0.5576,0.4450739880470066,0.5878860119529933,1717771.7740000002,120361.93970233097,1612435.12,1925105.88,1568322.6867176432,1867220.8612823572,1242563.624,130161.31180863266,1120110.5,1463514.12,1080947.009168246,1404180.238831754,-0.11711999999999993,0.1254378212502115,-0.3152,-0.0093999999999999,-0.2728716266595069,0.03863162665950705,0.30291999999999997,0.10104396072997138,0.1279,0.3882,0.17745735172567934,0.4283826482743206
