round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.99999565,3907348.5,2983923.5,-0.99999565,0.35128006,-1.3991029262542725,0.99998534,148,1592.2831787109376,0.99999136,150,1628.647900390625,0.9999985,140,1392.4431884765625,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999837,3907217.8,2983853.2,-0.9999837,0.3512683,-1.398942470550537,0.9999651,148,1539.899658203125,0.9999747,150,1572.8317626953126,0.9999873,140,1334.8492919921875,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9999385,3906830.0,2983626.0,-0.9999385,0.35123345,-1.3984663486480713,0.9998844,148,1458.072412109375,0.99991727,150,1493.97880859375,0.99992615,140,1247.215576171875,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9997997,3905998.5,2983043.8,-0.9997997,0.35115868,-1.3974454402923584,0.999773,148,1373.965185546875,0.9997155,150,1402.3179931640625,0.9997051,140,1178.13525390625,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9994682,3904527.5,2981862.8,-0.9994682,0.35102645,-1.3956401348114014,0.99948543,148,1322.288427734375,0.9991702,150,1312.5082275390625,0.9994323,140,1115.01513671875,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99896026,3902074.0,2979948.0,-0.99896026,0.35080588,-1.3926303386688232,0.99910975,148,1212.9967529296875,0.9984037,150,1244.9407958984375,0.99901456,140,1063.7697021484375,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9977296,3896835.2,2975726.0,-0.9977296,0.35033488,-1.3862102031707764,0.99814767,148,1126.54658203125,0.99655765,150,1142.3478759765626,0.9981234,140,974.0205078125,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99605715,3889899.0,2970003.0,-0.99605715,0.3497113,-1.377722978591919,0.9968056,148,1040.05126953125,0.9936366,150,1045.303125,0.9965691,140,864.4995849609375,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.99287057,3877292.5,2959472.8,-0.99287057,0.34857795,-1.3623361587524414,0.9938194,148,938.93173828125,0.98916256,150,931.4634643554688,0.99395114,140,774.1147827148437,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9878081,3856384.5,2942502.5,-0.9878081,0.34669828,-1.3369274139404297,0.989228,148,826.0521484375,0.98270357,150,844.5688720703125,0.9896362,140,701.7961303710938,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.9798364,3828661.2,2918270.0,-0.9798364,0.3442059,-1.3034484386444092,0.9823985,148,727.1139404296875,0.9718283,150,752.7975952148438,0.9793888,140,605.168359375,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.96483713,3779662.0,2875542.5,-0.96483713,0.33980075,-1.2448666095733643,0.97158957,148,633.0723388671875,0.95377684,150,633.2041137695312,0.9654115,140,523.6219360351563,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.94721746,3709687.0,2818542.0,-0.94721746,0.3335098,-1.1625149250030518,0.9508874,148,521.3724365234375,0.9330013,150,561.2738037109375,0.9453979,140,412.2792907714844,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.9172431,3611315.0,2732355.5,-0.9172431,0.32466593,-1.0493464469909668,0.927735,148,433.6623229980469,0.8974028,150,426.3044799804687,0.9204204,140,325.3017913818359,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8684335,3474306.0,2602863.8,-0.8684335,0.31234848,-0.896796464920044,0.87727505,148,345.7380004882813,0.8553025,150,324.8283996582031,0.8727243,140,259.6316650390625,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.8050567,3280849.0,2426660.2,-0.8050567,0.29495624,-0.6914420127868652,0.8246103,148,265.4906860351563,0.8022891,150,242.99508361816407,0.8330272,140,186.38860015869142,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.723277,3070868.0,2213658.2,-0.7215786,0.27607843,-0.48185884952545166,0.7638167,148,198.5358428955078,0.7131498,150,197.3246307373047,0.75795203,140,128.43700103759767,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.6250006,2830859.5,1960876.8,-0.6118859,0.2545011,-0.25927698612213135,0.7021805,148,135.849755859375,0.6252179,150,140.24708251953126,0.6147097,140,85.08391952514648,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.52428836,2554627.5,1668977.9,-0.47140396,0.22966717,-0.02550971508026123,0.60467786,148,97.78331680297852,0.52468073,150,103.42505493164063,0.48442787,140,53.38401412963867,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.4306998,2271403.2,1406364.8,-0.32198086,0.20420463,0.18927592039108276,0.5252925,148,70.24118347167969,0.43128836,150,85.72443466186523,0.36359775,140,36.38401832580566,0.3378995433789954,0.3424657534246575,0.319634703196347
