BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client,source_index
5,98,177,2.43,4,23,212.366,788332,0.1,205.3,1597956.96,Client 1,107
6,98,141,7.07,4,23,212.366,788332,0.1,205.3,1694236.69,Client 1,108
5,98,112,6.72,2,1,212.366,788332,0.1,205.3,573200.7,Client 1,109
7,98,197,6.29,1,10,212.366,788332,0.1,205.3,944801.18,Client 1,110
4,98,180,2.17,4,20,212.366,788332,0.1,205.3,2732278.31,Client 1,111
4,98,235,2.15,1,50,212.366,788332,0.1,205.3,3031864.46,Client 1,112
5,98,165,0.93,6,9,212.366,788332,0.1,205.3,1230252.38,Client 1,113
3,98,175,0.0,2,13,212.366,788332,0.1,205.3,1506069.9,Client 1,115
3,99,295,2.52,4,40,212.366,788332,0.1,205.3,2883469.87,Client 1,116
5,100,443,1.68,3,44,212.366,788332,0.1,205.3,3929493.36,Client 1,117
6,100,855,0.39,2,46,212.366,788332,0.1,205.3,5777224.55,Client 1,118
6,100,345,2.11,3,29,212.366,788332,0.1,205.3,3998210.74,Client 1,119
3,100,340,9.67,6,68,212.366,788332,0.1,205.3,4176970.84,Client 1,121
5,90,185,6.01,4,50,193.396,809256,0.18,222.4,3247956.81,Client 1,127
6,92,100,0.76,1,5,193.396,809256,0.18,222.4,366200.7,Client 1,128
6,95,225,0.78,2,11,193.396,809256,0.18,222.4,1862602.03,Client 1,131
5,96,75,1.67,1,5,193.396,809256,0.18,222.4,284997.72,Client 1,133
3,97,355,16.05,1,8,193.396,809256,0.18,222.4,2328774.61,Client 1,134
7,98,139,1.36,1,7,193.396,809256,0.18,222.4,3297092.71,Client 1,135
7,98,210,1.28,4,12,193.396,809256,0.18,222.4,2093339.17,Client 1,136
6,98,230,1.06,4,28,193.396,809256,0.18,222.4,6821744.16,Client 1,137
6,98,159,0.42,1,25,193.396,809256,0.18,222.4,850304.49,Client 1,139
3,98,200,0.51,6,22,193.396,809256,0.18,222.4,1754491.67,Client 1,141
11,100,400,4.8,1,83,193.396,809256,0.18,222.4,4496359.65,Client 1,144
8,100,240,0.11,4,26,193.396,809256,0.18,222.4,1478208.98,Client 1,145
5,102,252,0.26,1,15,193.396,809256,0.18,222.4,1940223.58,Client 1,148
4,104,130,1.07,1,4,193.396,809256,0.18,222.4,583929.42,Client 1,149
5,104,285,11.67,1,4,193.396,809256,0.18,222.4,4012024.06,Client 1,150
5,97,170,1.2,2,48,173.9,1116811,3.22,136.6,2952755.81,Client 1,151
2,104,160,2.89,2,6,173.9,1116811,3.22,136.6,999999.99,Client 1,152
6,104,120,7.37,2,6,173.9,1116811,3.22,136.6,1804963.0,Client 1,153
7,102,150,9.17,4,12,180.9,1161282,4.97,148.2,1943197.87,Client 1,156
7,104,150,2.71,8,5,180.9,1161282,4.97,148.2,997952.15,Client 1,157
7,97,149,0.67,2,4,184.682,1147951,5.02,166.8,786871.74,Client 1,158
7,97,210,2.57,1,21,184.682,1147951,5.02,166.8,2129206.81,Client 1,159
8,100,179,0.52,1,5,184.682,1147951,5.02,166.8,1367483.55,Client 1,161
3,104,150,1.2,1,7,184.682,1147951,5.02,166.8,2574897.44,Client 1,163
7,105,300,1.31,4,15,184.682,1147951,5.02,166.8,4046488.18,Client 1,164
7,108,170,4.24,2,4,184.682,1147951,5.02,166.8,1277957.54,Client 1,165
12,95,299,1.26,1,40,195.549,1077350,1.92,184.8,2307756.9,Client 1,166
5,98,300,6.15,4,25,195.549,1077350,1.92,184.8,4574375.25,Client 1,168
4,100,160,0.64,1,1,195.549,1077350,1.92,184.8,1049260.49,Client 1,169
6,92,180,1.16,1,16,179.252,906543,0.16,195.5,1478061.44,Client 1,170
10,94,220,3.27,1,55,179.252,906543,0.16,195.5,1473322.41,Client 1,171
8,98,250,0.1,2,34,179.252,906543,0.16,195.5,1918628.61,Client 1,173
6,104,180,0.33,1,101,179.252,906543,0.16,195.5,2816638.99,Client 1,175
6,104,280,4.09,1,71,179.252,906543,0.16,195.5,2487194.27,Client 1,176
5,87,120,0.14,1,27,212.366,788332,0.1,205.3,542051.75,Client 1,177
5,92,225,2.23,1,19,212.366,788332,0.1,205.3,2933583.78,Client 1,178
8,102,150,0.6,1,18,212.366,788332,0.1,205.3,634885.54,Client 1,179
7,102,180,0.94,2,62,212.366,788332,0.1,205.3,2564886.38,Client 1,180
7,96,180,0.23,2,26,193.396,809256,0.18,222.4,998939.03,Client 1,181
7,98,140,0.93,1,10,193.396,809256,0.18,222.4,985713.42,Client 1,182
9,102,180,1.19,1,41,193.396,809256,0.18,222.4,817035.23,Client 1,183
3,54,255,11.0,4,21,163.1,991356,1.35,133.7,3915881.41,Client 1,184
2,90,115,7.17,2,7,173.9,1116811,3.22,136.6,801944.4,Client 1,185
3,96,290,1.04,2,21,173.9,1116811,3.22,136.6,4022305.88,Client 1,187
3,96,150,12.21,5,3,173.9,1116811,3.22,136.6,2612103.59,Client 1,188
2,99,330,2.12,3,6,173.9,1116811,3.22,136.6,7392135.14,Client 1,189
2,108,320,12.23,6,6,173.9,1116811,3.22,136.6,7695245.06,Client 1,190
4,83,310,2.54,4,45,157.6,891497,1.13,137.0,3130155.65,Client 1,191
2,91,190,1.23,2,21,180.9,1161282,4.97,148.2,3975002.7,Client 1,192
4,96,210,3.25,1,38,179.252,906543,0.16,195.5,4924444.44,Client 1,194
6,104,75,0.63,1,3,179.252,906543,0.16,195.5,787444.44,Client 1,195
6,94,145,1.78,4,20,212.366,788332,0.1,205.3,1022228.75,Client 1,199
5,97,150,1.06,5,12,212.366,788332,0.1,205.3,1288505.56,Client 1,200
4,98,75,0.7,4,12,212.366,788332,0.1,205.3,356665.0,Client 1,203
6,98,120,11.48,4,60,212.366,788332,0.1,205.3,1563239.26,Client 1,204
6,100,190,0.52,1,153,212.366,788332,0.1,205.3,4738000.0,Client 1,206
6,100,240,2.11,1,27,212.366,788332,0.1,205.3,2948196.38,Client 1,207
6,100,180,2.74,2,85,212.366,788332,0.1,205.3,2322979.0,Client 1,208
5,101,550,0.42,2,87,212.366,788332,0.1,205.3,9444488.88,Client 1,209
6,102,90,17.04,4,4,212.366,788332,0.1,205.3,1230699.45,Client 1,210
1,102,330,15.6,2,96,212.366,788332,0.1,205.3,4780000.0,Client 1,211
6,104,280,1.43,1,83,212.366,788332,0.1,205.3,6617367.56,Client 1,212
3,104,110,0.42,1,1,212.366,788332,0.1,205.3,893647.47,Client 1,213
7,108,90,7.99,2,4,212.366,788332,0.1,205.3,356381.03,Client 1,214
5,38,225,0.93,1,26,193.396,809256,0.18,222.4,2925879.92,Client 1,215
6,64,140,0.53,2,32,193.396,809256,0.18,222.4,1445901.98,Client 1,216
6,92,140,1.64,2,25,193.396,809256,0.18,222.4,1483989.51,Client 1,218
2,97,150,0.55,1,11,193.396,809256,0.18,222.4,442340.0,Client 1,219
5,98,225,1.47,4,9,193.396,809256,0.18,222.4,3434263.44,Client 1,220
3,98,180,5.44,2,25,193.396,809256,0.18,222.4,2633483.26,Client 1,221
3,98,225,0.32,1,19,193.396,809256,0.18,222.4,2364635.46,Client 1,222
5,98,120,0.64,4,7,193.396,809256,0.18,222.4,1444222.21,Client 1,223
4,98,160,1.97,2,51,193.396,809256,0.18,222.4,2028888.88,Client 1,225
7,98,165,3.16,2,83,193.396,809256,0.18,222.4,8289263.47,Client 1,226
6,98,200,0.67,5,14,193.396,809256,0.18,222.4,1845000.0,Client 1,229
5,99,180,0.27,4,10,193.396,809256,0.18,222.4,2275465.61,Client 1,230
5,102,240,9.86,4,8,193.396,809256,0.18,222.4,1421762.08,Client 1,231
4,44,200,2.21,1,25,163.1,991356,1.35,133.7,3875546.32,Client 2,233
2,86,190,1.41,1,69,163.1,991356,1.35,133.7,6382649.0,Client 2,236
3,81,180,4.23,5,27,173.9,1116811,3.22,136.6,10686653.0,Client 2,239
2,81,174,1.52,4,72,173.9,1116811,3.22,136.6,6653701.0,Client 2,240
2,81,90,1.37,4,4,173.9,1116811,3.22,136.6,1893000.0,Client 2,241
3,88,180,4.21,2,29,173.9,1116811,3.22,136.6,1935414.03,Client 2,242
3,89,150,2.4,4,79,173.9,1116811,3.22,136.6,4595937.0,Client 2,243
1,90,140,1.06,6,5,173.9,1116811,3.22,136.6,3905015.8,Client 2,244
3,94,175,3.06,2,22,173.9,1116811,3.22,136.6,4978217.65,Client 2,245
3,96,208,0.49,2,90,173.9,1116811,3.22,136.6,2324486.68,Client 2,246
3,97,240,6.38,4,5,173.9,1116811,3.22,136.6,4488989.84,Client 2,247
3,100,60,0.9,4,2,173.9,1116811,3.22,136.6,648849.0,Client 2,249
1,77,140,3.0,2,17,180.9,1161282,4.97,148.2,6396009.0,Client 2,252
2,83,175,0.24,4,20,180.9,1161282,4.97,148.2,5290000.0,Client 2,253
2,92,150,2.29,1,18,180.9,1161282,4.97,148.2,4976073.18,Client 2,256
1,95,210,3.62,1,20,180.9,1161282,4.97,148.2,10144811.0,Client 2,258
2,96,90,5.02,1,3,180.9,1161282,4.97,148.2,2973331.79,Client 2,259
