round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1590.8580078125,0.9999827146530151,3987786.75,3242020.75,-0.9999827146530151,13.033866944639296,13.033866944639296,1.9999654293060303,0.3378995433789954
1,size_only,Client 2,150,1616.7021728515624,0.9999911785125732,4608966.5,3895077.5,-0.9999911785125732,12.964246313896492,12.964246313896492,1.9999823570251465,0.3424657534246575
1,size_only,Client 3,140,1377.5969970703125,0.9999985098838806,2321857.25,1997774.0,-0.9999985098838806,13.256413958385922,13.256413958385922,1.9999970197677612,0.319634703196347
2,size_only,Client 1,148,1561.549267578125,0.9999696612358093,3987673.5,3241944.5,-0.9999696612358093,11.246860393653588,11.246860393653588,1.9999393224716187,0.3378995433789954
2,size_only,Client 2,150,1582.5832763671874,0.9999698996543884,4608800.0,3894959.25,-0.9999698996543884,11.176661738452983,11.176661738452983,1.9999397993087769,0.3424657534246575
2,size_only,Client 3,140,1336.19072265625,0.9999938607215881,2321830.25,1997758.25,-0.9999938607215881,11.54314636123947,11.54314636123947,1.9999877214431763,0.319634703196347
3,size_only,Client 1,148,1523.31494140625,0.9999476075172424,3987471.75,3241822.0,-0.9999476075172424,9.45814033929069,9.45814033929069,1.9998952150344849,0.3378995433789954
3,size_only,Client 2,150,1552.8781982421874,0.9999582171440125,4608720.0,3894901.5,-0.9999582171440125,9.45302292573697,9.45302292573697,1.999916434288025,0.3424657534246575
3,size_only,Client 3,140,1320.724560546875,0.9999856948852539,2321778.75,1997728.0,-0.9999856948852539,9.682707747025985,9.682707747025985,1.9999713897705078,0.319634703196347
4,size_only,Client 1,148,1500.3031494140625,0.9999078512191772,3987180.5,3241614.0,-0.9999078512191772,8.007248098465189,8.007248098465189,1.9998157024383545,0.3378995433789954
4,size_only,Client 2,150,1518.232177734375,0.9999286532402039,4608509.5,3894742.25,-0.9999286532402039,7.824087975858373,7.824087975858373,1.9998573064804077,0.3424657534246575
4,size_only,Client 3,140,1278.6198486328126,0.999973714351654,2321707.25,1997684.625,-0.999973714351654,7.925594611265576,7.925594611265576,1.999947428703308,0.319634703196347
5,size_only,Client 1,148,1462.177880859375,0.999870777130127,3986928.75,3241437.75,-0.999870777130127,6.384967154351049,6.384967154351049,1.999741554260254,0.3378995433789954
5,size_only,Client 2,150,1490.175537109375,0.9998443126678467,4608056.0,3894365.0,-0.9998443126678467,6.336056740927238,6.336056740927238,1.9996886253356934,0.3424657534246575
5,size_only,Client 3,140,1260.2058349609374,0.9999383091926575,2321492.0,1997555.125,-0.9999383091926575,6.397769606664152,6.397769606664152,1.999876618385315,0.319634703196347
6,size_only,Client 1,148,1438.09189453125,0.999798595905304,3986424.5,3241074.5,-0.999798595905304,5.328680973086592,5.328680973086592,1.999597191810608,0.3378995433789954
