round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1590.8580078125,0.9999827146530151,3987786.75,3242020.75,-0.9999827146530151,13.033866944639296,13.033866944639296,1.9999654293060303,0.3378995433789954
1,size_only,Client 2,150,1616.7021728515624,0.9999911785125732,4608966.5,3895077.5,-0.9999911785125732,12.964246313896492,12.964246313896492,1.9999823570251465,0.3424657534246575
1,size_only,Client 3,140,1377.5969970703125,0.9999985098838806,2321857.25,1997774.0,-0.9999985098838806,13.256413958385922,13.256413958385922,1.9999970197677612,0.319634703196347
2,size_only,Client 1,148,1580.357861328125,0.9999772906303406,3987739.75,3241987.25,-0.9999772906303406,11.107785392572334,11.107785392572334,1.9999545812606812,0.3378995433789954
2,size_only,Client 2,150,1600.255126953125,0.9999799132347107,4608877.0,3895015.25,-0.9999799132347107,11.017416345363037,11.017416345363037,1.9999598264694214,0.3424657534246575
2,size_only,Client 3,140,1353.7286865234375,0.9999964237213135,2321846.25,1997767.375,-0.9999964237213135,11.388807403254985,11.388807403254985,1.999992847442627,0.319634703196347
3,size_only,Client 1,148,1554.580029296875,0.9999674558639526,3987639.25,3241929.75,-0.9999674558639526,9.146231812024936,9.146231812024936,1.9999349117279053,0.3378995433789954
3,size_only,Client 2,150,1584.9820068359375,0.9999791979789734,4608870.0,3895011.0,-0.9999791979789734,9.038735347473851,9.038735347473851,1.9999583959579468,0.3424657534246575
3,size_only,Client 3,140,1349.4439697265625,0.9999940395355225,2321831.5,1997758.625,-0.9999940395355225,9.397857860779208,9.397857860779208,1.999988079071045,0.319634703196347
4,size_only,Client 1,148,1543.7947265625,0.9999507069587708,3987515.5,3241841.5,-0.9999507069587708,7.40105552849626,7.40105552849626,1.9999014139175415,0.3378995433789954
4,size_only,Client 2,150,1560.359228515625,0.9999688863754272,4608787.0,3894952.5,-0.9999688863754272,7.258366456477537,7.258366456477537,1.9999377727508545,0.3424657534246575
4,size_only,Client 3,140,1315.221240234375,0.9999903440475464,2321809.25,1997745.75,-0.9999903440475464,7.457028563742504,7.457028563742504,1.9999806880950928,0.319634703196347
5,size_only,Client 1,148,1511.479443359375,0.9999354481697083,3987404.0,3241765.25,-0.9999354481697083,5.569862012739058,5.569862012739058,1.9998708963394165,0.3378995433789954
5,size_only,Client 2,150,1537.969189453125,0.9999341368675232,4608571.0,3894783.5,-0.9999341368675232,5.48659312297809,5.48659312297809,1.9998682737350464,0.3424657534246575
5,size_only,Client 3,140,1303.632373046875,0.9999799728393555,2321733.0,1997703.375,-0.9999799728393555,5.7009401348169675,5.7009401348169675,1.999959945678711,0.319634703196347
