round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1590.8580078125,0.9999827146530151,3987786.75,3242020.75,-0.9999827146530151,13.033866944639296,13.033866944639296,1.9999654293060303,0.3378995433789954
1,size_only,Client 2,150,1616.7021728515624,0.9999911785125732,4608966.5,3895077.5,-0.9999911785125732,12.964246313896492,12.964246313896492,1.9999823570251465,0.3424657534246575
1,size_only,Client 3,140,1377.5969970703125,0.9999985098838806,2321857.25,1997774.0,-0.9999985098838806,13.256413958385922,13.256413958385922,1.9999970197677612,0.319634703196347
2,size_only,Client 1,148,1539.09306640625,0.9999551177024841,3987562.25,3241870.25,-0.9999551177024841,5.5368198693147255,5.5368198693147255,1.9999102354049683,0.3378995433789954
2,size_only,Client 2,150,1559.534619140625,0.9999513030052185,4608674.5,3894864.5,-0.9999513030052185,5.358119436101293,5.358119436101293,1.999902606010437,0.3424657534246575
2,size_only,Client 3,140,1313.7612548828124,0.9999901652336121,2321804.0,1997743.5,-0.9999901652336121,5.45123076618673,5.45123076618673,1.9999803304672241,0.319634703196347
3,size_only,Client 1,148,1471.5972412109375,0.9998924136161804,3987068.75,3241543.75,-0.9998924136161804,3.9339443735381963,3.9339443735381963,1.9997848272323608,0.3378995433789954
3,size_only,Client 2,150,1499.017041015625,0.9998939633369446,4608317.0,3894586.0,-0.9998939633369446,4.445086772895989,4.445086772895989,1.9997879266738892,0.3424657534246575
3,size_only,Client 3,140,1273.53330078125,0.9999549388885498,2321608.75,1997620.875,-0.9999549388885498,3.099899421077023,3.099899421077023,1.9999098777770996,0.319634703196347
4,size_only,Client 1,148,1418.6917236328125,0.9997431039810181,3986034.5,3240801.5,-0.9997431039810181,5.077388453086895,5.077388453086895,1.9994862079620361,0.3378995433789954
4,size_only,Client 2,150,1434.235693359375,0.9997383952140808,4607421.0,3893851.75,-0.9997383952140808,4.747417600236057,4.747417600236057,1.9994767904281616,0.3424657534246575
4,size_only,Client 3,140,1206.049267578125,0.9998622536659241,2321121.5,1997305.5,-0.9998622536659241,3.0614693748271984,3.0614693748271984,1.9997245073318481,0.319634703196347
5,size_only,Client 1,148,1351.253369140625,0.9995265007019043,3984655.0,3239802.0,-0.9995265007019043,4.762436513335902,4.762436513335902,1.9990530014038086,0.3378995433789954
5,size_only,Client 2,150,1379.7115478515625,0.9992581605911255,4605205.5,3891848.5,-0.9992581605911255,5.016360187636085,5.016360187636085,1.998516321182251,0.3424657534246575
5,size_only,Client 3,140,1164.1299560546875,0.9995923638343811,2319758.5,1996409.375,-0.9995923638343811,3.875255819524192,3.875255819524192,1.9991847276687622,0.319634703196347
