round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1553.1192138671875,0.9999370574951172,3987416.5,3241793.75,-0.9999370574951172,13.109766845152377,13.109766845152377,1.9998741149902344,0.3378995433789954
1,size_only,Client 2,150,1569.96220703125,0.9999568462371826,4608771.0,3894918.0,-0.9999568462371826,12.963841657728189,12.963841657728189,1.9999136924743652,0.3424657534246575
1,size_only,Client 3,140,1304.350146484375,0.9999964833259583,2321849.5,1997768.25,-0.9999964833259583,13.461358610088878,13.461358610088878,1.9999929666519165,0.319634703196347
2,size_only,Client 1,148,1461.944580078125,0.9997721314430237,3986145.0,3240935.25,-0.9997721314430237,11.075349548391333,11.075349548391333,1.9995442628860474,0.3378995433789954
2,size_only,Client 2,150,1473.12919921875,0.999804675579071,4607769.5,3894150.75,-0.999804675579071,10.982187523583578,10.982187523583578,1.999609351158142,0.3424657534246575
2,size_only,Client 3,140,1246.4584228515625,0.9999298453330994,2321549.25,1997563.75,-0.9999298453330994,11.37807413426121,11.37807413426121,1.9998596906661987,0.319634703196347
3,size_only,Client 1,148,1367.79931640625,0.9995037913322449,3984211.0,3239594.0,-0.9995037913322449,9.248068531685364,9.248068531685364,1.9990075826644897,0.3378995433789954
3,size_only,Client 2,150,1401.2102294921874,0.999374508857727,4605456.0,3892225.75,-0.999374508857727,9.578451461365075,9.578451461365075,1.998749017715454,0.3424657534246575
3,size_only,Client 3,140,1165.0130859375,0.999668538570404,2320477.5,1996780.25,-0.999668538570404,9.344009329853526,9.344009329853526,1.999337077140808,0.319634703196347
4,size_only,Client 1,148,1286.82109375,0.9990623593330383,3981429.25,3237565.25,-0.9990623593330383,8.97331869324486,8.97331869324486,1.9981247186660767,0.3378995433789954
4,size_only,Client 2,150,1300.3654541015626,0.9982678294181824,4600689.5,3887728.0,-0.9982678294181824,9.488147751377992,9.488147751377992,1.9965356588363647,0.3424657534246575
4,size_only,Client 3,140,1102.8131958007812,0.9992392659187317,2318767.25,1995545.375,-0.9992392659187317,8.606091455761662,8.606091455761662,1.9984785318374634,0.319634703196347
5,size_only,Client 1,148,1202.5283447265624,0.998141348361969,3974549.5,3232910.75,-0.998141348361969,9.91191014633145,9.91191014633145,1.996282696723938,0.3378995433789954
5,size_only,Client 2,150,1199.1640869140624,0.9963459968566895,4593424.5,3880499.25,-0.9963459968566895,10.526016815047152,10.526016815047152,1.992691993713379,0.3424657534246575
5,size_only,Client 3,140,1006.2170288085938,0.9982022047042847,2314412.0,1992501.5,-0.9982022047042847,8.760430560341545,8.760430560341545,1.9964044094085693,0.319634703196347
6,size_only,Client 1,148,1083.7589111328125,0.9966333508491516,3965395.0,3226137.5,-0.9966333508491516,12.114893503901639,12.114893503901639,1.9932667016983032,0.3378995433789954
6,size_only,Client 2,150,1105.5028198242187,0.9931108355522156,4580209.0,3867638.25,-0.9931108355522156,14.245046867808025,14.245046867808025,1.9862216711044312,0.3424657534246575
6,size_only,Client 3,140,928.39951171875,0.9964371919631958,2308516.75,1988038.25,-0.9964371919631958,10.662848635810985,10.662848635810985,1.9928743839263916,0.319634703196347
7,size_only,Client 1,148,988.863818359375,0.9935194253921509,3944804.25,3211376.75,-0.9935194253921509,14.386840672636826,14.386840672636826,1.9870388507843018,0.3378995433789954
7,size_only,Client 2,150,991.1450439453125,0.9873519539833069,4553725.0,3843528.75,-0.9873519539833069,16.787087614416386,16.787087614416386,1.9747039079666138,0.3424657534246575
7,size_only,Client 3,140,848.174853515625,0.9942797422409058,2298904.75,1981437.75,-0.9942797422409058,13.973206469899713,13.973206469899713,1.9885594844818115,0.319634703196347
8,size_only,Client 1,148,903.2734008789063,0.9901814460754395,3924159.0,3196475.25,-0.9901814460754395,17.41166863039855,17.41166863039855,1.980362892150879,0.3378995433789954
