round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999972,3907364.0,2983930.2,-0.9999972,0.35128146,-1.3991222381591797,fedyogi,1.0,0.5,1.0,13.034546861055594,9.332712969359235,False,True,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.99971807,3904679.8,2982409.0,-0.99971807,0.35104012,-1.395826816558838,fedyogi,1.0,0.5,1.0,5.207030799939831,4.8469037000074655,False,True,True,0.9997721314430237,148,1461.944580078125,5.4510518389585645,5.4510518389585645,1.9995442628860474,0.999804675579071,150,1473.12919921875,5.827453623610112,5.827453623610112,1.999609351158142,0.9999298453330994,140,1246.4584228515625,5.502514684129388,5.502514684129388,1.9998596906661987,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.999279,3901672.0,2980425.0,-0.999279,0.35076973,-1.3921375274658203,fedyogi,1.0,0.5,1.0,4.282819641295995,3.02127022668142,False,True,True,0.999504566192627,148,1367.777392578125,4.760966316477556,4.760966316477556,1.999009132385254,0.9993742108345032,150,1401.203369140625,5.705045205494729,5.705045205494729,1.9987484216690063,0.9996684193611145,140,1165.01455078125,3.671917066560935,3.671917066560935,1.999336838722229,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9988444,3900039.2,2978941.0,-0.9988444,0.35062295,-1.3901357650756836,fedyogi,1.0,0.5,1.0,5.053572378805786,4.088669881019644,False,True,True,0.9990612864494324,148,1286.43017578125,5.6909425887335,5.6909425887335,1.9981225728988647,0.9982593655586243,150,1299.921630859375,6.406608373774227,6.406608373774227,1.9965187311172485,0.9992362260818481,140,1102.4830322265625,4.450716179253565,4.450716179253565,1.9984724521636963,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9978265,3895676.0,2975268.0,-0.9978265,0.35023066,-1.3847906589508057,fedyogi,1.0,0.5,1.0,4.604260853295022,3.809429188232341,False,True,True,0.9981386065483093,148,1201.8744140625,5.495387093812435,5.495387093812435,1.9962772130966187,0.9963337779045105,150,1198.605859375,6.191866636133545,6.191866636133545,1.992667555809021,0.9981944561004639,140,1005.6618896484375,4.308935204759473,4.308935204759473,1.9963889122009277,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99580216,3887153.5,2968078.0,-0.99580216,0.34946448,-1.3743677139282227,fedyogi,1.0,0.5,1.0,5.544217783563816,4.408609709152989,False,True,True,0.9966242909431458,148,1083.0150390625,5.957026516953104,5.957026516953104,1.9932485818862915,0.9930779337882996,150,1104.7772827148438,7.851766826220698,7.851766826220698,1.9861558675765991,0.9964084625244141,140,927.770556640625,4.5801548465494895,4.5801548465494895,1.9928169250488281,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9925189,3872690.5,2956187.5,-0.9925189,0.34816423,-1.3567321300506592,fedyogi,1.0,0.5,1.0,5.567970959778472,4.354546279055372,False,True,True,0.9934934377670288,148,987.9939575195312,5.534797833063598,5.534797833063598,1.9869868755340576,0.987308919429779,150,990.3182983398438,7.683879189329164,7.683879189329164,1.974617838859558,0.9942354559898376,140,847.37861328125,5.3859870703915425,5.3859870703915425,1.9884709119796753,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.98733,3848901.0,2937089.8,-0.98733,0.3460255,-1.327866792678833,fedyogi,1.0,0.5,1.0,5.39974877441424,4.4217872783050325,False,True,True,0.990167498588562,148,901.9198486328125,5.7119425798465375,5.7119425798465375,1.980334997177124,0.9795693755149841,150,908.7103881835938,8.21081382244177,8.21081382244177,1.9591387510299683,0.9870463609695435,140,749.4756103515625,4.645082315915955,4.645082315915955,1.974092721939087,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.97887367,3810997.2,2906966.8,-0.97887367,0.34261784,-1.282243013381958,fedyogi,1.0,0.5,1.0,5.1156373615271065,4.298954154688249,False,True,True,0.9824438691139221,148,788.2223388671875,4.577341745796767,4.577341745796767,1.9648877382278442,0.9678552746772766,150,815.9948364257813,7.843625633884879,7.843625633884879,1.9357105493545532,0.9805131554603577,140,665.7087768554687,5.428382794897562,5.428382794897562,1.9610263109207153,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9665849,3756222.0,2864143.8,-0.9665849,0.33769342,-1.217109203338623,fedyogi,1.0,0.5,1.0,4.864115319630922,4.0808244121559,False,True,True,0.9729731678962708,148,680.229248046875,4.083471583182755,4.083471583182755,1.9459463357925415,0.950149416923523,150,679.8465942382812,7.480789033780254,7.480789033780254,1.900298833847046,0.972391664981842,140,562.3772644042969,5.947337918795884,5.947337918795884,1.944783329963684,0.3378995433789954,0.3424657534246575,0.319634703196347
