scenario,stratum,n,mape,rmse,mae,mpe,r2
A (GBR),Small (<$1M),8,2.7553701083037816,1603961.4592576055,1079766.406811639,2.6909303436588674,-49.75839882858569
A (GBR),Medium ($1M-$5M),50,0.382968303449064,1276244.8626735036,972439.6375995523,0.05523502910253113,-0.26223630213809845
A (GBR),Large (>=$5M),12,0.3201009564686205,2680211.0517941387,2166149.167717734,-0.29316351114029715,-3.4303642220338713
A' (NN),Small (<$1M),8,1.839512169651272,1071201.310677664,742404.5637500001,1.8253204603468398,-21.63925903522968
A' (NN),Medium ($1M-$5M),50,0.3467537373300685,1135941.8169563946,855466.9029999998,0.04494222158961472,3.474204988085372e-05
A' (NN),Large (>=$5M),12,0.2791374596339454,2322383.7853786387,1879656.575,-0.24703350101070287,-2.3263609380675283
