round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,aggregation_delta_norm,server_update_norm,server_update_clipped,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.02,13.034546861055594,1.2281313816807558,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.99999887,3907379.5,2983938.8,-0.99999887,0.35128284,-1.3991410732269287,fedyogi,1.0,0.02,12.347423018421237,1.7029798961060953,False,0.9998578429222107,148,1511.1314697265625,12.471495179921806,12.471495179921806,1.9997156858444214,0.9999040365219116,150,1523.9940185546875,12.29448474307702,12.29448474307702,1.9998080730438232,0.9999670386314392,140,1290.7836181640625,12.807254168212678,12.807254168212678,1.9999340772628784,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9999724,3907020.8,2983763.2,-0.9999724,0.3512506,-1.398700475692749,fedyogi,1.0,0.02,12.378842787670289,1.9555006161549042,False,0.9997825622558594,148,1459.6991943359376,12.584099605876862,12.584099605876862,1.9995651245117188,0.9997941255569458,150,1493.8391845703125,12.70041552557269,12.70041552557269,1.9995882511138916,0.9998714923858643,140,1246.645654296875,12.574347199071953,12.574347199071953,1.9997429847717285,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.99966,3903770.5,2981972.8,-0.99966,0.35095838,-1.3947110176086426,fedyogi,1.0,0.02,15.786777819280335,2.1479471438862805,False,0.9996682405471802,148,1416.7946533203126,16.35506640491837,16.35506640491837,1.9993364810943604,0.9995529055595398,150,1431.2825927734375,16.934482025838822,16.934482025838822,1.9991058111190796,0.999695897102356,140,1219.49267578125,14.905108869960609,14.905108869960609,1.999391794204712,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99758554,3888066.5,2971993.5,-0.99758554,0.34954655,-1.3754832744598389,fedyogi,1.0,0.02,22.94258108947919,2.2585148678466473,False,0.9994393587112427,148,1362.131884765625,24.334135678003072,24.334135678003072,1.9988787174224854,0.9991374611854553,150,1365.728173828125,25.362642153390553,25.362642153390553,1.9982749223709106,0.9993259906768799,140,1154.170654296875,19.99565098313428,19.99565098313428,1.9986519813537598,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.98749083,3821210.0,2926800.5,-0.98749083,0.343536,-1.2944912910461426,fedyogi,1.0,0.02,34.80899151048959,2.3203441047679094,False,0.9991930723190308,148,1287.1303466796876,35.65970460856603,35.65970460856603,1.9983861446380615,0.9983802437782288,150,1311.074658203125,38.78319900935295,38.78319900935295,1.9967604875564575,0.9987233281135559,140,1110.24970703125,30.505532550696554,30.505532550696554,1.9974466562271118,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.946579,3552204.8,2742212.8,-0.946579,0.3193518,-0.9828075170516968,fedyogi,1.0,0.02,49.3622745758625,2.353261402371213,False,0.9985228180885315,148,1233.03583984375,50.57557714603229,50.57557714603229,1.997045636177063,0.9974042177200317,150,1242.31142578125,53.68864435056746,53.68864435056746,1.9948084354400635,0.9980233311653137,140,1065.9824829101562,44.325858724900705,44.325858724900705,1.9960466623306274,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.8321662,2760188.5,2175344.0,-0.81843686,0.2481476,-0.19718718528747559,fedyogi,1.0,0.02,67.50190050349285,2.3526523388153477,False,0.9979855418205261,148,1178.1784423828126,69.49399126161643,69.49399126161643,1.9959710836410522,0.9958895444869995,150,1194.6158935546875,71.02739268999947,71.02739268999947,1.991779088973999,0.9963658452033997,140,1002.5111206054687,62.21200584121459,62.21200584121459,1.9927316904067993,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.95604247,4115354.0,2747076.0,-0.46127263,0.36998025,-1.6613314151763916,fedyogi,1.0,0.02,89.38496378800134,2.307839174394864,False,0.996099054813385,148,1098.6570922851563,88.1479800345014,88.1479800345014,1.99219810962677,0.9935842752456665,150,1125.40380859375,95.00453448932979,95.00453448932979,1.987168550491333,0.9943664073944092,140,947.615283203125,85.2983036445003,85.2983036445003,1.9887328147888184,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,1.778177,17346394.0,7778222.5,0.42594033,1.5594827,-46.28277587890625,fedyogi,1.0,0.02,116.88632902727545,2.2454121094298953,False,0.9949358105659485,148,1019.72021484375,120.09332885057738,120.09332885057738,1.989871621131897,0.9912033081054688,150,1024.180224609375,121.13995905647822,121.13995905647822,1.9824066162109375,0.9916157126426697,140,868.828564453125,109.56622074104047,109.56622074104047,1.9832314252853394,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,3.7266788,52315748.0,20126480.0,2.4258277,4.703312,-429.0802307128906,fedyogi,1.0,0.02,145.90863844421034,2.2049096513890807,False,0.9919455647468567,148,956.68623046875,149.09366812231357,149.09366812231357,1.9838911294937134,0.9878223538398743,150,964.3355102539062,154.52732948861455,154.52732948861455,1.9756447076797485,0.9863602519035339,140,825.8058349609375,134.02898912616973,134.02898912616973,1.9727205038070679,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,7.2333264,119818530.0,43040172.0,5.97237,10.771975,-2254.9658203125,fedyogi,1.0,0.02,174.61746872014916,2.171201752636539,False,0.9865002036094666,148,883.4909545898438,180.21129671641705,180.21129671641705,1.973000407218933,0.9823863506317139,150,914.6075317382813,182.24951931349798,182.24951931349798,1.9647727012634277,0.9779679775238037,140,753.4036987304687,161.4876727232199,161.4876727232199,1.9559359550476074,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,12.439812,214114350.0,75221256.0,11.189781,19.249397,-7203.04052734375,fedyogi,1.0,0.02,206.3021736001589,2.1255059603632374,False,0.978121280670166,148,820.626513671875,204.81649554991105,204.81649554991105,1.956242561340332,0.9741808176040649,150,820.3594482421875,222.04124971778847,222.04124971778847,1.9483616352081299,0.9658529758453369,140,698.3204223632813,191.7497558550559,191.7497558550559,1.9317059516906738,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,16.541195,255767280.0,94314904.0,15.301027,22.994095,-10278.5615234375,fedyogi,1.0,0.02,235.91429994710222,2.0874677210876538,False,0.969435453414917,148,719.6289184570312,241.48603185983646,241.48603185983646,1.938870906829834,0.9596948027610779,150,734.409033203125,243.5009382848487,243.5009382848487,1.9193896055221558,0.9520779848098755,140,634.310791015625,222.92530031632526,222.92530031632526,1.904155969619751,0.3378995433789954,0.3424657534246575,0.319634703196347
