round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.5,2983945.0,-1.0,0.35128394,-1.399155616760254,fedyogi,1.0,0.3,1.0,12.915946570628485,6.357249674002253,False,True,False,0.9999827146530151,148,1590.8580078125,13.033866944639296,13.033866944639296,1.9999654293060303,0.9999911785125732,150,1616.7021728515624,12.964246313896492,12.964246313896492,1.9999823570251465,0.9999985098838806,140,1377.5969970703125,13.256413958385922,13.256413958385922,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999807,3907145.2,2983824.5,-0.9999807,0.3512618,-1.3988535404205322,fedyogi,1.0,0.3,1.0,7.610108697991689,5.728567256640721,False,True,True,0.9999374747276306,148,1520.958935546875,7.98382821626325,7.98382821626325,1.9998749494552612,0.9999322295188904,150,1540.4052978515624,7.830697019628223,7.830697019628223,1.9998644590377808,0.9999854564666748,140,1296.549462890625,7.955208187682484,7.955208187682484,1.9999709129333496,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9996405,3903627.5,2981926.8,-0.9996405,0.35094553,-1.394535779953003,fedyogi,1.0,0.3,1.0,4.4173061236963935,2.919433025691561,False,True,True,0.999825656414032,148,1434.08203125,5.117509151707466,5.117509151707466,1.999651312828064,0.9998088479042053,150,1459.9852294921875,5.72661172943269,5.72661172943269,1.9996176958084106,0.9999029636383057,140,1239.0529052734375,4.1182245135001585,4.1182245135001585,1.9998059272766113,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9990461,3899879.2,2979377.5,-0.9990461,0.35060856,-1.389939546585083,fedyogi,1.0,0.3,1.0,5.184725382295521,2.6811516876493404,False,True,True,0.9995522499084473,148,1362.066650390625,6.48990505596542,6.48990505596542,1.9991044998168945,0.9994447827339172,150,1374.1405029296875,6.528771811989139,6.528771811989139,1.9988895654678345,0.9996836185455322,140,1153.6060546875,3.917971569587624,3.917971569587624,1.9993672370910645,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9981163,3895870.8,2976010.5,-0.9981163,0.3502482,-1.3850290775299072,fedyogi,1.0,0.3,1.0,5.885326434096935,2.9820588378053188,False,True,True,0.9990261197090149,148,1269.8254150390626,6.72176448622539,6.72176448622539,1.9980522394180298,0.9982708096504211,150,1296.468017578125,7.62983117469531,7.62983117469531,1.9965416193008423,0.9990111589431763,140,1092.013525390625,5.184484691253789,5.184484691253789,1.9980223178863525,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.9963702,3888630.0,2969886.2,-0.9963702,0.34959722,-1.3761718273162842,fedyogi,1.0,0.3,1.0,7.193036478316599,3.362978117291579,False,True,True,0.9982095956802368,148,1189.332421875,7.57673063156128,7.57673063156128,1.9964191913604736,0.9965491890907288,150,1188.571875,9.80827207721813,9.80827207721813,1.9930983781814575,0.9979034066200256,140,998.0709350585937,5.6868099592722725,5.6868099592722725,1.9958068132400513,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9931203,3874472.0,2958286.8,-0.9931203,0.3483244,-1.358900547027588,fedyogi,1.0,0.3,1.0,8.483116114975907,3.4256112594018333,False,True,True,0.9967105984687805,148,1091.6992919921875,8.839547704748647,8.839547704748647,1.993421196937561,0.9941630363464355,150,1107.8541748046875,10.779879861578422,10.779879861578422,1.988326072692871,0.9960509538650513,140,937.9701049804687,7.080210723038745,7.080210723038745,1.9921019077301025,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9868046,3845294.0,2935166.0,-0.9868046,0.34570122,-1.3235056400299072,fedyogi,1.0,0.3,1.0,10.445225901849486,3.384184485334774,False,True,True,0.9943634867668152,148,977.6388916015625,11.230480501538517,11.230480501538517,1.9887269735336304,0.989578366279602,150,1010.4892211914063,13.12237608241417,13.12237608241417,1.979156732559204,0.9926674962043762,140,822.3514526367187,8.186035156337152,8.186035156337152,1.9853349924087524,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.977246,3800659.5,2900181.8,-0.977246,0.34168845,-1.2698779106140137,fedyogi,1.0,0.3,1.0,12.449919231109027,3.484336933997813,False,True,True,0.9895280599594116,148,886.4932983398437,11.780841619796373,11.780841619796373,1.9790561199188232,0.9853526949882507,150,902.0770385742187,15.589307769439872,15.589307769439872,1.9707053899765015,0.9888309836387634,140,772.8796020507813,11.011985496168384,11.011985496168384,1.9776619672775269,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.96237105,3739452.2,2848590.8,-0.96237105,0.33618578,-1.1973567008972168,fedyogi,1.0,0.3,1.0,13.735335646540246,3.268864576634476,False,True,True,0.9850415587425232,148,797.137890625,12.552361248028435,12.552361248028435,1.9700831174850464,0.9769100546836853,150,786.0974487304687,16.7373279792175,16.7373279792175,1.9538201093673706,0.9826323986053467,140,684.876123046875,12.958105980694338,12.958105980694338,1.9652647972106934,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.93766075,3648486.5,2767241.5,-0.93766075,0.32800773,-1.0917515754699707,fedyogi,1.0,0.3,1.0,15.696184012067638,3.3452693490725003,False,True,True,0.975853681564331,148,693.020703125,14.74577748029643,14.74577748029643,1.951707363128662,0.9615675210952759,150,696.8029907226562,17.720420205863096,17.720420205863096,1.9231350421905518,0.9701297283172607,140,576.1582580566406,15.46189835849028,15.46189835849028,1.9402594566345215,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.90663147,3553813.8,2674163.0,-0.90663147,0.31949642,-0.9846042394638062,fedyogi,1.0,0.3,1.0,17.377818435693264,3.2668941655458403,False,True,True,0.9635951519012451,148,584.0504272460937,15.448988694825971,15.448988694825971,1.9271903038024902,0.9401025176048279,150,587.9374267578125,20.96352540856655,20.96352540856655,1.8802050352096558,0.9508013129234314,140,470.79847412109376,16.604643797574436,16.604643797574436,1.9016026258468628,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.87200785,3443276.0,2569788.5,-0.87200785,0.3095588,-0.8630663156509399,fedyogi,1.0,0.3,1.0,16.602857094579313,3.257562014808589,False,True,True,0.9407560229301453,148,491.2439819335938,15.237472723983707,15.237472723983707,1.8815120458602905,0.9078323841094971,150,501.9522766113281,17.76354469434468,17.76354469434468,1.8156647682189941,0.9268988370895386,140,409.8810241699219,17.79205129664665,17.79205129664665,1.8537976741790771,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.82688373,3303130.0,2432621.2,-0.82688373,0.29695937,-0.714493989944458,fedyogi,1.0,0.3,1.0,16.406252177757608,3.202799295158214,False,True,True,0.9110236167907715,148,379.11713256835935,13.803472540195994,13.803472540195994,1.822047233581543,0.8760579824447632,150,403.72438354492186,19.319572540675203,19.319572540675203,1.7521159648895264,0.8867166638374329,140,313.1759094238281,17.119592683681873,17.119592683681873,1.7734333276748657,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.7746705,3129570.2,2269991.5,-0.7746705,0.28135592,-0.5390545129776001,fedyogi,1.0,0.3,1.0,15.627770443263334,3.098449460253439,False,True,True,0.8788215517997742,148,313.8691467285156,14.246636396375807,14.246636396375807,1.7576431035995483,0.8050933480262756,150,310.32530517578124,17.539943000964826,17.539943000964826,1.6101866960525513,0.838367223739624,140,247.5999969482422,16.17107817739922,16.17107817739922,1.6757464408874512,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.695617,2919813.0,2049264.2,-0.695617,0.26249823,-0.33966028690338135,fedyogi,1.0,0.3,1.0,16.190027207922707,3.1867792211886923,False,True,True,0.8018656969070435,148,250.87044982910157,14.51448293581686,14.51448293581686,1.603731393814087,0.7292280793190002,150,230.64935302734375,17.330634561665153,17.330634561665153,1.4584561586380005,0.7795040607452393,140,173.30269470214844,17.978271316980337,17.978271316980337,1.5426743030548096,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.63196826,2739174.8,1881852.1,-0.6243234,0.24625842,-0.17902803421020508,fedyogi,1.0,0.3,1.0,14.208508363086414,2.8358721615833797,False,True,True,0.7327760457992554,148,156.78904724121094,12.904999494291577,12.904999494291577,1.4655520915985107,0.6502239108085632,150,168.897021484375,15.065657503526193,15.065657503526193,1.3000006675720215,0.7026799321174622,140,112.9100357055664,15.94801772903997,15.94801772903997,1.3790035247802734,0.3378995433789954,0.3424657534246575,0.319634703196347
