scenario_key,scenario,n_runs,mean_raw_mape,mean_corrected_mape,mean_mape_delta,std_mape_delta,calibration_improved_mape_runs,mean_mape_relative_delta,mean_rmse_delta_corrected_minus_raw,mean_mae_delta_corrected_minus_raw,mean_mpe_delta_corrected_minus_raw,mean_r2_delta_corrected_minus_raw
A_prime,ANN传统神经网络,5,0.50660558,0.476180338,-0.03042524200000001,0.021925462201340708,5,-0.06005706056376246,94281.27999999998,59302.92799999998,-0.13416484239999998,-0.06917699575424198
B,传统联邦学习,5,0.516289466,0.518586506,0.0022970399999999946,0.024022108741589502,1,0.004449132030131319,-175418.31999999998,-144810.63999999998,0.16320588368,0.1372204065322876
FEDYOGI,自适应联邦学习（FedYogi-TR）,5,0.5205652040000001,0.5238307759999999,0.0032655720000000165,0.02332117418757402,2,0.006273127698331555,-201905.72000000006,-172600.90000000005,0.209697065,0.16043885946273803
VG_FEDYOGI_TR,验证引导自适应联邦学习（VG-FedYogi-TR）,5,0.483647588,0.49000602000000004,0.006358431999999992,0.011045878226792143,1,0.013146828719426988,-78340.3,-45823.0,0.1051536354,0.05901582241058352
MAS_VG_FEDYOGI_TR,多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,5,0.480689658,0.489237142,0.008547483999999972,0.012510087960998922,1,0.01778170979497123,-80064.14000000004,-53482.5,0.1179828514,0.06022076606750485
COHERENCE_FEDYOGI_TR,一致性感知自适应联邦学习（Coherence-FedYogi-TR）,5,0.522429944,0.5280186,0.005588655999999992,0.02402480403457395,2,0.010697426639082526,-194305.50000000006,-160962.26,0.204594004,0.15522779226303096
LLM_GCA_FEDYOGI_TR,大模型引导的生成式一致性感知自适应联邦学习（LLM-GCA-FedYogi-TR）,5,0.52061163,0.5239162980000001,0.0033046679999999993,0.023212676150126888,2,0.0063476645729178185,-201537.34000000003,-172237.77999999994,0.2094358799,0.16017891168594361
