scenario,model_type,training_samples,training_scope,local_validation_samples_withheld,validation_samples,test_samples,n_estimators,learning_rate,max_depth,val_mape,val_rmse,val_mae,val_mpe,val_nrmse,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,scenario_key,seed,split_seed,elapsed_seconds,success,command,result_file,code_commit,code_dirty,llm_provider,llm_temperature,seed_result_file,hidden_dims,dropout,weight_decay,batch_size,best_epoch,best_val_mape,test_r2,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value,num_rounds,best_round,server_optimizer,server_lr,server_beta1,server_beta2,server_tau,server_lr_scale,max_coordinate_step_ratio,update_clip_norm,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,use_llm
传统联邦学习,,,,,,,,,,,,,,,0.42065084,1700182.5,1198032.6,-0.1652389,0.190723,B,42,42,176.9068479537964,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 42,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed42_result.csv,,,,,,,0.31979900598526,0.42098188,1540240.4,1070468.8,-0.014744983,0.4417571425437927,-0.15274614,20.0,20.0,,,,,,,,,,,,,,,,,
传统联邦学习,,,,,,,,,,,,,,,0.50635946,1612047.9,1118802.0,-0.008085187,0.18083625,B,123,42,53.68865394592285,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 123,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed123_result.csv,,,,,,,0.3884921669960022,0.51269317,1552810.1,1081577.1,0.04733719,0.432608425617218,-0.052917432,20.0,19.0,,,,,,,,,,,,,,,,,
传统联邦学习,,,,,,,,,,,,,,,0.56156653,1678045.2,1203470.5,-0.02601535,0.1882397,B,456,42,46.6914484500885,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 456,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed456_result.csv,,,,,,,0.3373968005180359,0.57439375,1561353.8,1107312.8,0.0914601,0.4263476133346557,-0.10763151,20.0,20.0,,,,,,,,,,,,,,,,,
传统联邦学习,,,,,,,,,,,,,,,0.541448,1665254.0,1226601.5,-0.07623107,0.1868048,B,789,42,43.74907064437866,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 789,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed789_result.csv,,,,,,,0.3474599719047546,0.56983143,1510371.1,1114272.2,0.09676063,0.4631987810134887,-0.15772967,20.0,20.0,,,,,,,,,,,,,,,,,
传统联邦学习,,,,,,,,,,,,,,,0.5514225,1927505.6,1466428.0,-0.32689753,0.21622366,B,2024,42,73.83700895309448,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 2024,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed2024_result.csv,,,,,,,0.1257463097572326,0.5150323,1541168.2,1115650.5,-0.0072515556,0.4410843253135681,-0.32198086,20.0,20.0,,,,,,,,,,,,,,,,,
自适应联邦学习（FedYogi-TR）,,,,,,,,,,,,,,,0.42136717,1709282.8,1220793.6,-0.21111473,0.19174385,FEDYOGI,42,42,164.51416659355164,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 42,results\fedyogi_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\FEDYOGI_seed42_result.csv,,,,,,0.40191242,0.3124979734420776,0.41867378,1502782.0,1062922.2,-0.015486903,0.4685797095298767,-0.19870515,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
自适应联邦学习（FedYogi-TR）,,,,,,,,,,,,,,,0.5029395,1685063.6,1164507.4,-0.07773094,0.189027,FEDYOGI,123,42,56.21644067764282,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 123,results\fedyogi_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\FEDYOGI_seed123_result.csv,,,,,,0.40217173,0.3318425416946411,0.5098391,1551972.4,1069869.0,0.044691898,0.4332205057144165,-0.11718558,20.0,19.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
自适应联邦学习（FedYogi-TR）,,,,,,,,,,,,,,,0.5405681,1662685.0,1202207.5,-0.065804526,0.18651661,FEDYOGI,456,42,54.28858208656311,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 456,results\fedyogi_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\FEDYOGI_seed456_result.csv,,,,,,0.37644842,0.3494718074798584,0.5503714,1499452.2,1064863.5,0.0867816,0.4709320068359375,-0.14040186,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
自适应联邦学习（FedYogi-TR）,,,,,,,,,,,,,,,0.5321561,1664871.2,1143677.1,-0.045710504,0.18676186,FEDYOGI,789,42,57.12183094024658,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 789,results\fedyogi_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\FEDYOGI_seed789_result.csv,,,,,,0.39671898,0.3477599620819092,0.5655269,1560570.5,1072553.8,0.1244593,0.4269229769706726,-0.15133476,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
自适应联邦学习（FedYogi-TR）,,,,,,,,,,,,,,,0.60579515,2018229.1,1561304.8,-0.36003774,0.22640082,FEDYOGI,2024,42,57.02370524406433,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 2024,results\fedyogi_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\FEDYOGI_seed2024_result.csv,,,,,,0.4778279,0.041511058807373,0.5747427,1615826.0,1159277.4,0.04764099,0.3856224417686462,-0.38913974,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
