server_lr,max_coordinate_step_ratio,best_val_mape_mean,best_val_mape_std,best_val_mape_min,best_val_mape_max,n_success,update_clip_norm
0.2,0.75,0.90602768,0.006974873005352782,0.9010957,0.91095966,2,2.0
0.2,1.0,0.7549962,0.0017649385258416608,0.7537482,0.7562442,2,2.0
0.2,0.75,0.6757857,0.019178857226122736,0.6622242,0.6893472,2,
0.2,1.0,0.48703149,0.005839867626599083,0.48290208,0.4911609,2,
0.3,0.75,0.9752472,0.0035884254931655237,0.9727098,0.9777846,2,2.0
0.3,1.0,0.9356406349999999,0.003515218728109346,0.933155,0.93812627,2,2.0
0.3,0.75,0.7713611499999999,0.01119130831516147,0.7634477,0.7792746,2,
0.3,1.0,0.38139937,0.026848179801278894,0.36241484,0.4003839,2,
0.4,0.75,0.98615792,0.004849451442462295,0.98272884,0.989587,2,2.0
0.4,1.0,0.97505036,0.0033036028817035566,0.97271436,0.97738636,2,2.0
0.4,0.75,0.78835085,0.030355316298879175,0.7668864,0.8098153,2,
0.4,1.0,0.36964989000000004,0.04584185990354448,0.3372348,0.40206498,2,
0.5,0.75,0.987608525,0.005530458912355325,0.9836979,0.99151915,2,2.0
0.5,1.0,0.98493445,0.00458707240023523,0.9816909,0.988178,2,2.0
0.5,0.75,0.78924775,0.03267208095675879,0.7661451,0.8123504,2,
0.5,1.0,0.368074285,0.04547023993469188,0.33592197,0.4002266,2,
